description,code,type
Aravali Securities & Finance Ltd. EOD Prices,BOM512344,BSE
Arcee Industries Ltd. EOD Prices,BOM520121,BSE
Archana Software Ltd. EOD Prices,BOM530565,BSE
Archidply Industries Ltd. EOD Prices,BOM532994,BSE
Archies Ltd. EOD Prices,BOM532212,BSE
Archit Organosys Ltd. EOD Prices,BOM524640,BSE
Arco Leasing Ltd. EOD Prices,BOM511038,BSE
Arcotech Ltd. EOD Prices,BOM532914,BSE
Arcuttipore Tea Co.ltd. EOD Prices,BOM530261,BSE
Ardi Investment & Trading Ltd. EOD Prices,BOM504370,BSE
Arex Industries Ltd. EOD Prices,BOM526851,BSE
Arfin India Ltd EOD Prices,BOM539151,BSE
Ari Consolidated Investments Ltd. EOD Prices,BOM509110,BSE
Aries Agro Ltd. EOD Prices,BOM532935,BSE
Arihant Avenues & Credit Ltd. EOD Prices,BOM531553,BSE
Arihant Capital Markets Ltd. EOD Prices,BOM511605,BSE
Arihant Foundations & Housing Ltd.-$ EOD Prices,BOM531381,BSE
Arihant Superstructures Limited EOD Prices,BOM506194,BSE
Arihant Tournesol Ltd. EOD Prices,BOM526125,BSE
Arihant's Securities Ltd. EOD Prices,BOM531017,BSE
Aris International Ltd. EOD Prices,BOM531677,BSE
Arman Financial Services Ltd. EOD Prices,BOM531179,BSE
Arman Holdings Ltd EOD Prices,BOM538556,BSE
Arms Paper Ltd. EOD Prices,BOM532397,BSE
Arnav Corporation Ltd. EOD Prices,BOM531467,BSE
Arnold Holdings Ltd EOD Prices,BOM537069,BSE
Aro Granite Industries Ltd.-$ EOD Prices,BOM513729,BSE
Aroma Enterprises (india) Ltd. EOD Prices,BOM531560,BSE
Aroni Commercials Ltd.-$ EOD Prices,BOM512273,BSE
Arora Fibres Ltd. EOD Prices,BOM521174,BSE
Arrow Greentech Ltd EOD Prices,BOM516064,BSE
Arrow Textiles Ltd. EOD Prices,BOM533068,BSE
Arshiya Limited EOD Prices,BOM506074,BSE
Arss Infrastructure Projects Ltd. EOD Prices,BOM533163,BSE
Artech Power Products Ltd. EOD Prices,BOM517481,BSE
Artefact Projects Ltd. EOD Prices,BOM531297,BSE
Artson Engineering Ltd. EOD Prices,BOM522134,BSE
Arvind Infrastructure Ltd EOD Prices,BOM539301,BSE
Arvind International Ltd.-$ EOD Prices,BOM524760,BSE
Arvind Ltd. EOD Prices,BOM500101,BSE
Arvind Remedies Ltd. EOD Prices,BOM531823,BSE
Aryaman Capital Markets Ltd EOD Prices,BOM538716,BSE
Aryaman Financial Services Ltd. EOD Prices,BOM530245,BSE
Asahi India Glass Ltd. EOD Prices,BOM515030,BSE
Asahi Industries Limited EOD Prices,BOM514482,BSE
Asahi Infrastructure & Projects Ltd. EOD Prices,BOM512535,BSE
Asahi Songwon Colors Ltd. EOD Prices,BOM532853,BSE
Aseem Global Ltd. EOD Prices,BOM534564,BSE
Ashapura Intimates Fashion Ltd. EOD Prices,BOM535467,BSE
Ashapura Minechem Ltd. EOD Prices,BOM527001,BSE
Ashco Niulab Industries Ltd.-$ EOD Prices,BOM517565,BSE
Ashiana Agro Industries Ltd. EOD Prices,BOM519174,BSE
Ashiana Housing Ltd.-$ EOD Prices,BOM523716,BSE
